paper_id,claim_id,table_figure,claim,value_script,value_paper,match,notes,value_rewrite,match_rewrite,defect_locus
coppock_kaur_2022,table_3|column_d,table_3,column d,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",1,Table 3 column read down the ten units,"1,1,1,1,1,1,1,0,0,0",1,
coppock_kaur_2022,table_3|column_y,table_3,column Y,"1,1,1,1,0,0,0,1,0,0","1,1,1,1,0,0,0,1,0,0",1,Table 3 column read down the ten units,"1,1,1,1,0,0,0,1,0,0",1,
coppock_kaur_2022,table_3|column_y0_initial,table_3,column Y0_initial,"?,?,?,?,?,?,?,1,0,0","?,?,?,?,?,?,?,1,0,0",1,Table 3 column read down the ten units,"?,?,?,?,?,?,?,1,0,0",1,
coppock_kaur_2022,table_3|column_y1_initial,table_3,column Y1_initial,"1,1,1,1,0,0,0,?,?,?","1,1,1,1,0,0,0,?,?,?",1,Table 3 column read down the ten units,"1,1,1,1,0,0,0,?,?,?",1,
coppock_kaur_2022,table_3|column_y0_easy,table_3,column Y0_easy,"1,1,?,?,0,?,?,1,0,0","1,1,?,?,0,?,?,1,0,0",1,Table 3 column read down the ten units,"1,1,?,?,0,?,?,1,0,0",1,
coppock_kaur_2022,table_3|column_y1_easy,table_3,column Y1_easy,"1,1,1,1,0,0,0,1,0,?","1,1,1,1,0,0,0,1,0,?",1,Table 3 column read down the ten units,"1,1,1,1,0,0,0,1,0,?",1,
coppock_kaur_2022,table_3|column_y0_nulls,table_3,column Y0_nulls,"1,1,?,?,0,0,0,1,0,0","1,1,?,?,0,0,0,1,0,0",1,Table 3 column read down the ten units,"1,1,?,?,0,0,0,1,0,0",1,
coppock_kaur_2022,table_3|column_y1_nulls,table_3,column Y1_nulls,"1,1,1,1,0,0,0,1,0,?","1,1,1,1,0,0,0,1,0,?",1,Table 3 column read down the ten units,"1,1,1,1,0,0,0,1,0,?",1,
coppock_kaur_2022,table_3|column_y0_hard,table_3,column Y0_hard,"1,1,0,0,0,0,0,1,0,0","1,1,0,0,0,0,0,1,0,0",1,Table 3 column read down the ten units,"1,1,0,0,0,0,0,1,0,0",1,
coppock_kaur_2022,table_3|column_y1_hard,table_3,column Y1_hard,"1,1,1,1,0,0,0,1,0,?","1,1,1,1,0,0,0,1,0,?",1,Table 3 column read down the ten units,"1,1,1,1,0,0,0,1,0,?",1,
coppock_kaur_2022,table_3|ev_bounds_low_initial_values,table_3,"EV bounds low, Initial Values",-40,-40,1,Printed beneath Table 3; the deposited script prints fractions,-40,1,
coppock_kaur_2022,table_3|ev_bounds_high_initial_values,table_3,"EV bounds high, Initial Values",60,60,1,,60,1,
coppock_kaur_2022,table_3|ev_bounds_low_easy_cases,table_3,"EV bounds low, Easy Cases",-20,-20,1,Printed beneath Table 3; the deposited script prints fractions,-20,1,
coppock_kaur_2022,table_3|ev_bounds_high_easy_cases,table_3,"EV bounds high, Easy Cases",30,30,1,,30,1,
coppock_kaur_2022,table_3|ev_bounds_low_nulls_for_6_7,table_3,"EV bounds low, Nulls for 6&7",0,0,1,Printed beneath Table 3; the deposited script prints fractions,0,1,
coppock_kaur_2022,table_3|ev_bounds_high_nulls_for_6_7,table_3,"EV bounds high, Nulls for 6&7",30,30,1,,30,1,
coppock_kaur_2022,table_3|ev_bounds_low_hard_cases,table_3,"EV bounds low, Hard Cases",20,20,1,Printed beneath Table 3; the deposited script prints fractions,20,1,
